"","participantRole","condition","condition.f","fairness","cond1_selection","redgreen_selection","attn_check","manip_check1","manip_check2","pol_id","pol_or","CI_difference"
"264","Player2-Republican",1,"self",6,1,1,3,2,1,"Rep",7,2
"265","Player4-Republican",2,"other",4,NA,NA,3,1,1,"Rep",4,3.66666666666667
"266","Player2-Republican",4,"outgroup",3,NA,NA,3,2,2,"Rep",4,0
"267","Player4-Republican",2,"other",6,NA,NA,3,1,1,"Rep",7,4
"268","Player3-Democrat",2,"other",4,NA,NA,3,1,1,"Dem",2,0.666666666666667
"269","Player4-Republican",2,"other",5,NA,NA,3,1,1,"Rep",7,4
"270","Player1-Democrat",4,"outgroup",4,NA,NA,3,2,1,"Dem",3,0.333333333333333
"271","Player1-Democrat",3,"ingroup",7,NA,NA,3,1,1,"Dem",4,2.66666666666667
"272","Player3-Democrat",3,"ingroup",4,NA,NA,3,1,1,"Dem",3,3
"273","Player2-Republican",4,"outgroup",6,NA,NA,3,1,1,"Rep",6,2
"274","Player1-Democrat",1,"self",6,1,1,3,1,4,"Dem",7,5
"275","Player1-Democrat",4,"outgroup",4,NA,NA,3,2,2,"Dem",2,2.33333333333333
"276","Player4-Republican",1,"self",5,1,1,3,1,1,"Rep",5,3
"277","Player3-Democrat",2,"other",4,NA,NA,3,2,2,"Dem",3,2.66666666666667
"278","Player2-Republican",1,"self",6,1,2,3,1,4,"Rep",4,6
"279","Player1-Democrat",4,"outgroup",3,NA,NA,3,1,1,"Dem",1,5.66666666666667
"280","Player4-Republican",3,"ingroup",6,NA,NA,3,2,2,"Rep",6,3
"281","Player3-Democrat",3,"ingroup",2,NA,NA,3,2,2,"Dem",4,0
"282","Player4-Republican",2,"other",5,NA,NA,3,1,1,"Rep",6,4
"283","Player1-Democrat",2,"other",6,NA,NA,3,1,1,"Dem",3,2
"284","Player1-Democrat",1,"self",3,1,1,3,1,1,"Dem",3,0
"285","Player2-Republican",1,"self",2,1,1,3,1,4,"Rep",7,4
"286","Player1-Democrat",4,"outgroup",5,NA,NA,3,1,1,"Dem",4,0
"287","Player2-Republican",3,"ingroup",3,NA,NA,3,1,1,"Rep",5,1.33333333333333
"288","Player1-Democrat",1,"self",6,1,1,3,1,4,"Dem",4,1.33333333333333
"289","Player3-Democrat",1,"self",2,1,1,3,1,4,"Dem",1,6
"290","Player3-Democrat",3,"ingroup",4,NA,NA,3,1,1,"Dem",1,3.33333333333333
"291","Player3-Democrat",4,"outgroup",2,NA,NA,3,1,1,"Dem",2,1
"292","Player3-Democrat",4,"outgroup",6,NA,NA,3,1,1,"Dem",2,4.33333333333333
"293","Player4-Republican",4,"outgroup",2,NA,NA,3,1,1,"Rep",7,3
"294","Player2-Republican",1,"self",5,1,1,3,1,2,"Rep",5,1
"295","Player1-Democrat",2,"other",5,NA,NA,3,1,1,"Dem",2,5.66666666666667
"296","Player2-Republican",4,"outgroup",4,NA,NA,3,1,1,"Rep",4,5.33333333333333
"297","Player3-Democrat",2,"other",4,NA,NA,3,1,1,"Dem",2,2
