"","participantRole","condition","condition.f","fairness","cond1_selection","redgreen_selection","attn_check","manip_check1","manip_check2","pol_id","pol_or","CI_difference"
"506","Player2-Republican",1,"self",6,1,1,3,1,1,"Rep",4,5.66666666666667
"507","Player3-Democrat",2,"other",4,NA,NA,3,1,1,"Dem",2,2.33333333333333
"508","Player1-Democrat",2,"other",6,NA,NA,3,1,1,"Dem",7,3.66666666666667
"509","Player4-Republican",4,"outgroup",4,NA,NA,3,2,2,"Rep",6,3.66666666666667
"510","Player1-Democrat",3,"ingroup",6,NA,NA,3,1,2,"Dem",4,3
"511","Player3-Democrat",1,"self",4,1,1,3,1,4,"Dem",2,4.66666666666667
"512","Player4-Republican",4,"outgroup",1,NA,NA,3,1,1,"Rep",2,-4
"513","Player1-Democrat",3,"ingroup",4,NA,NA,3,2,2,"Dem",2,0
"514","Player3-Democrat",1,"self",3,1,1,3,1,2,"Dem",1,5
"515","Player2-Republican",2,"other",5,NA,NA,3,1,1,"Rep",6,2.66666666666667
"516","Player4-Republican",4,"outgroup",5,NA,NA,3,2,2,"Rep",6,4
"517","Player1-Democrat",4,"outgroup",5,NA,NA,3,1,2,"Dem",2,5.33333333333333
"518","Player2-Republican",3,"ingroup",4,NA,NA,3,1,1,"Rep",7,5.33333333333333
"519","Player2-Republican",2,"other",4,NA,NA,3,1,1,"Rep",6,-0.666666666666667
"520","Player4-Republican",1,"self",6,2,NA,3,1,4,"Rep",5,2.33333333333333
"521","Player3-Democrat",4,"outgroup",4,NA,NA,3,1,1,"Dem",1,4
"522","Player1-Democrat",1,"self",7,1,2,3,1,1,"Dem",2,4
"523","Player2-Republican",3,"ingroup",4,NA,NA,3,1,2,"Rep",5,2
"524","Player4-Republican",2,"other",4,NA,NA,3,1,1,"Rep",6,-2.33333333333333
"525","Player3-Democrat",1,"self",2,1,1,3,1,4,"Dem",2,-1
"526","Player3-Democrat",3,"ingroup",1,NA,NA,3,2,2,"Dem",1,3.66666666666667
"527","Player1-Democrat",4,"outgroup",2,NA,NA,3,1,1,"Dem",3,5
"528","Player4-Republican",2,"other",3,NA,NA,3,2,2,"Rep",7,2
"529","Player3-Democrat",1,"self",3,1,1,3,2,2,"Dem",2,-0.333333333333333
"530","Player1-Democrat",3,"ingroup",4,NA,NA,3,2,1,"Dem",2,4
"531","Player2-Republican",2,"other",6,NA,NA,3,1,2,"Rep",6,4
"532","Player4-Republican",4,"outgroup",4,NA,NA,3,2,2,"Rep",6,4
"533","Player2-Republican",1,"self",6,1,1,3,1,1,"Rep",6,4.66666666666667
"534","Player1-Democrat",3,"ingroup",4,NA,NA,3,2,2,"Dem",2,4.33333333333333
"535","Player4-Republican",4,"outgroup",5,NA,NA,3,2,1,"Rep",6,4.33333333333333
"536","Player3-Democrat",4,"outgroup",4,NA,NA,3,1,2,"Dem",2,2.33333333333333
"537","Player3-Democrat",3,"ingroup",1,NA,NA,3,1,1,"Dem",1,4.66666666666667
"538","Player2-Republican",2,"other",3,NA,NA,3,1,1,"Rep",5,-1
"539","Player4-Republican",1,"self",5,1,1,3,1,4,"Rep",6,0
"540","Player1-Democrat",1,"self",7,2,NA,3,1,4,"Dem",1,4
"541","Player1-Democrat",2,"other",4,NA,NA,3,2,2,"Dem",2,3.33333333333333
"542","Player3-Democrat",1,"self",6,2,NA,3,1,1,"Dem",2,2.33333333333333
"543","Player4-Republican",3,"ingroup",3,NA,NA,3,1,1,"Rep",3,-2.33333333333333
"544","Player2-Republican",4,"outgroup",3,NA,NA,3,2,1,"Rep",4,0.333333333333333
"545","Player2-Republican",2,"other",4,NA,NA,3,1,1,"Rep",6,-4.66666666666667
"546","Player3-Democrat",4,"outgroup",6,NA,NA,3,1,1,"Dem",3,1
"547","Player1-Democrat",2,"other",2,NA,NA,3,2,1,"Dem",1,5.66666666666667
"548","Player3-Democrat",4,"outgroup",4,NA,NA,3,1,1,"Dem",2,3.66666666666667
"549","Player4-Republican",1,"self",5,1,1,3,2,2,"Rep",6,3
"550","Player2-Republican",3,"ingroup",4,NA,NA,3,1,1,"Rep",7,5
"551","Player2-Republican",1,"self",5,1,1,3,1,4,"Rep",7,6
"552","Player1-Democrat",3,"ingroup",5,NA,NA,3,2,4,"Dem",3,2.66666666666667
"553","Player4-Republican",2,"other",6,NA,NA,3,1,1,"Rep",7,4
