"","participantRole","condition","condition.f","fairness","cond1_selection","redgreen_selection","attn_check","manip_check1","manip_check2","pol_or","CI_difference"
"314","Player2-Underestimator",2,"other",2,NA,NA,3,1,1,4,3
"315","Player2-Underestimator",2,"other",4,NA,NA,3,1,1,3,0
"316","Player3-Overestimator",4,"outgroup",6,NA,NA,3,1,1,6,5.33333333333333
"317","Player4-Underestimator",4,"outgroup",5,NA,NA,3,1,1,4,1
"318","Player1-Overestimator",3,"ingroup",6,NA,NA,3,1,1,6,6
"319","Player1-Overestimator",3,"ingroup",2,NA,NA,3,1,1,1,1.66666666666667
"320","Player2-Underestimator",3,"ingroup",4,NA,NA,3,1,1,1,3.66666666666667
"321","Player1-Overestimator",2,"other",6,NA,NA,3,1,1,3,1.66666666666667
"322","Player4-Underestimator",3,"ingroup",1,NA,NA,3,1,1,4,2.33333333333333
"323","Player2-Underestimator",1,"self",6,1,1,3,1,1,4,0
"324","Player3-Overestimator",4,"outgroup",2,NA,NA,3,2,2,4,5
"325","Player4-Underestimator",1,"self",4,1,1,3,1,1,2,-1
"326","Player4-Underestimator",2,"other",3,NA,NA,3,1,2,1,3.66666666666667
"327","Player3-Overestimator",4,"outgroup",6,NA,NA,3,1,1,4,2.66666666666667
"328","Player4-Underestimator",4,"outgroup",3,NA,NA,3,1,1,2,0
"329","Player1-Overestimator",3,"ingroup",7,NA,NA,3,1,1,2,2
"330","Player1-Overestimator",2,"other",3,NA,NA,3,2,2,7,0
"331","Player2-Underestimator",2,"other",4,NA,NA,3,1,1,4,0
"332","Player3-Overestimator",2,"other",4,NA,NA,3,1,1,1,4
"333","Player3-Overestimator",4,"outgroup",4,NA,NA,3,2,2,2,4
"334","Player2-Underestimator",1,"self",7,2,NA,3,2,2,1,0
"335","Player2-Underestimator",3,"ingroup",3,NA,NA,3,2,2,4,0
"336","Player3-Overestimator",4,"outgroup",1,NA,NA,3,1,1,6,NA
"337","Player2-Underestimator",3,"ingroup",4,NA,NA,3,1,1,5,1
"338","Player4-Underestimator",1,"self",2,1,1,3,1,2,4,-1.33333333333333
"339","Player3-Overestimator",4,"outgroup",1,NA,NA,3,1,1,2,1.33333333333333
"340","Player2-Underestimator",2,"other",4,NA,NA,3,2,2,3,-1
"341","Player2-Underestimator",2,"other",5,NA,NA,3,2,2,4,0
"342","Player3-Overestimator",3,"ingroup",4,NA,NA,3,1,1,1,4
"343","Player4-Underestimator",1,"self",4,1,1,3,1,1,4,1.66666666666667
"344","Player1-Overestimator",4,"outgroup",6,NA,NA,3,1,1,7,0
"345","Player3-Overestimator",3,"ingroup",5,NA,NA,3,1,1,5,0.333333333333333
"346","Player1-Overestimator",1,"self",5,1,1,3,1,1,4,0
"347","Player1-Overestimator",3,"ingroup",2,NA,NA,3,1,1,4,0
"348","Player1-Overestimator",4,"outgroup",4,NA,NA,3,1,1,1,6
"349","Player4-Underestimator",2,"other",7,NA,NA,3,1,1,2,-0.666666666666667
"350","Player2-Underestimator",4,"outgroup",4,NA,NA,3,1,2,2,0
