"","participantRole","condition","condition.f","fairness","cond1_selection","redgreen_selection","attn_check","manip_check1","manip_check2","pol_or","CI_difference"
"213","Player2-Underestimator",2,"other",4,NA,NA,3,1,1,6,1
"214","Player3-Overestimator",3,"ingroup",4,NA,NA,3,1,1,2,0.333333333333333
"215","Player2-Underestimator",3,"ingroup",7,NA,NA,3,1,1,2,0.666666666666667
"216","Player3-Overestimator",2,"other",4,NA,NA,3,1,2,2,0
"217","Player3-Overestimator",2,"other",3,NA,NA,3,1,1,6,-1
"218","Player3-Overestimator",2,"other",4,NA,NA,3,1,1,5,0
"219","Player4-Underestimator",1,"self",5,1,1,3,1,2,3,3
"220","Player4-Underestimator",4,"outgroup",5,NA,NA,3,2,2,1,0.333333333333333
"221","Player2-Underestimator",1,"self",6,1,1,3,1,1,3,4.66666666666667
"222","Player4-Underestimator",1,"self",6,1,1,3,1,1,4,0
"223","Player2-Underestimator",3,"ingroup",3,NA,NA,3,1,1,2,0
"224","Player1-Overestimator",2,"other",4,NA,NA,3,1,1,4,0
"225","Player4-Underestimator",4,"outgroup",4,NA,NA,3,2,2,1,0
"226","Player2-Underestimator",3,"ingroup",2,NA,NA,3,1,1,3,-0.333333333333333
"227","Player2-Underestimator",1,"self",7,1,1,3,1,1,5,1
"228","Player2-Underestimator",3,"ingroup",4,NA,NA,3,1,1,7,2
"229","Player2-Underestimator",2,"other",2,NA,NA,3,2,2,3,0.666666666666667
"230","Player3-Overestimator",2,"other",4,NA,NA,3,2,2,2,0
"231","Player1-Overestimator",4,"outgroup",3,NA,NA,3,1,1,4,3.66666666666667
"232","Player3-Overestimator",4,"outgroup",1,NA,NA,3,1,1,6,2
"233","Player2-Underestimator",1,"self",7,2,NA,3,2,2,2,0
