"","participantRole","condition","condition.f","fairness","cond1_selection","redgreen_selection","attn_check","manip_check1","manip_check2","pol_or","CI_difference"
"301","Player1-Overestimator",2,"other",4,NA,NA,3,1,1,4,0
"302","Player2-Underestimator",3,"ingroup",3,NA,NA,3,1,1,2,0
"303","Player1-Overestimator",1,"self",4,1,1,3,1,1,4,1
"304","Player1-Overestimator",1,"self",4,1,1,3,1,2,3,0
"305","Player4-Underestimator",2,"other",2,NA,NA,3,1,1,1,2
"306","Player1-Overestimator",4,"outgroup",3,NA,NA,3,1,1,1,-2
"307","Player3-Overestimator",3,"ingroup",2,NA,NA,3,1,1,4,0.333333333333333
"308","Player3-Overestimator",3,"ingroup",4,NA,NA,3,1,2,2,0.333333333333333
"309","Player3-Overestimator",4,"outgroup",6,NA,NA,3,1,1,4,2.66666666666667
"310","Player2-Underestimator",4,"outgroup",4,NA,NA,3,2,2,1,0
"311","Player2-Underestimator",4,"outgroup",2,NA,NA,3,2,1,4,0
"312","Player4-Underestimator",2,"other",5,NA,NA,3,1,1,2,3
"313","Player3-Overestimator",4,"outgroup",4,NA,NA,3,2,2,4,0
"314","Player2-Underestimator",2,"other",4,NA,NA,3,1,1,3,0
"315","Player4-Underestimator",2,"other",3,NA,NA,3,1,2,1,3.66666666666667
"316","Player4-Underestimator",3,"ingroup",7,NA,NA,3,1,1,1,5.33333333333333
"317","Player2-Underestimator",3,"ingroup",4,NA,NA,3,1,1,1,3.66666666666667
"318","Player3-Overestimator",2,"other",4,NA,NA,3,1,2,1,0.666666666666667
"319","Player1-Overestimator",3,"ingroup",2,NA,NA,3,1,1,1,1.66666666666667
"320","Player3-Overestimator",2,"other",4,NA,NA,3,1,1,1,4
"321","Player3-Overestimator",3,"ingroup",4,NA,NA,3,1,1,1,4
"322","Player2-Underestimator",2,"other",1,NA,NA,3,2,2,3,1.33333333333333
"323","Player3-Overestimator",1,"self",6,2,NA,3,2,2,4,0
"324","Player4-Underestimator",1,"self",4,1,1,3,1,1,1,5
"325","Player2-Underestimator",3,"ingroup",3,NA,NA,3,1,2,2,0
"326","Player2-Underestimator",1,"self",4,2,NA,3,1,1,1,4
"327","Player2-Underestimator",3,"ingroup",3,NA,NA,3,2,2,4,0
"328","Player2-Underestimator",4,"outgroup",6,NA,NA,3,1,1,4,0
"329","Player2-Underestimator",3,"ingroup",3,NA,NA,3,2,2,7,0
"330","Player3-Overestimator",3,"ingroup",4,NA,NA,3,1,1,4,3
"331","Player3-Overestimator",1,"self",3,1,1,3,1,1,4,0.666666666666667
"332","Player3-Overestimator",1,"self",7,2,NA,3,1,1,4,0
"333","Player4-Underestimator",3,"ingroup",3,NA,NA,3,1,2,6,-1
"334","Player4-Underestimator",1,"self",2,1,1,3,1,1,6,1
"335","Player2-Underestimator",2,"other",4,NA,NA,3,1,1,4,0
"336","Player4-Underestimator",2,"other",3,NA,NA,3,2,2,1,3.33333333333333
"337","Player1-Overestimator",4,"outgroup",4,NA,NA,3,2,2,1,0
"338","Player4-Underestimator",3,"ingroup",5,NA,NA,3,1,1,5,0
"339","Player3-Overestimator",4,"outgroup",4,NA,NA,3,2,2,2,4
"340","Player3-Overestimator",2,"other",4,NA,NA,3,1,1,3,2
"341","Player4-Underestimator",3,"ingroup",1,NA,NA,3,1,1,4,2.33333333333333
"342","Player2-Underestimator",1,"self",6,1,1,3,1,1,2,4
"343","Player3-Overestimator",1,"self",1,1,1,3,1,1,4,6
"344","Player1-Overestimator",3,"ingroup",6,NA,NA,3,1,1,7,3.66666666666667
"345","Player4-Underestimator",1,"self",4,1,1,3,1,1,2,-1
"346","Player1-Overestimator",3,"ingroup",7,NA,NA,3,1,1,2,2
"347","Player2-Underestimator",1,"self",7,2,NA,3,2,2,1,0
"348","Player4-Underestimator",2,"other",7,NA,NA,3,1,1,2,-0.666666666666667
"349","Player1-Overestimator",4,"outgroup",4,NA,NA,3,1,1,1,6
"350","Player3-Overestimator",4,"outgroup",1,NA,NA,3,1,1,6,NA
"351","Player3-Overestimator",4,"outgroup",1,NA,NA,3,1,1,2,1.33333333333333
"352","Player2-Underestimator",3,"ingroup",4,NA,NA,3,1,1,5,1
"353","Player1-Overestimator",1,"self",5,1,1,3,1,1,4,0
